OriginalTagID,OutplantTagID,Treatment Type,,Treatment TypeDouble,Nursery Partner,
74-AH,1813,DG1,DG1,DG,1889,
75-AH,1806,DG2,DG2,DG,1807,^ planted together
86-AH,1807,SG,,SG,1806,
82-AH,1883,DG1,DG1,DG,1876,
83-AH,1876,DG2 ,DG2 ,DG,1883,^ planted together
210-AH,1849,DG1,DG1,DG,1867,
211-AH,1867,DG2,DG2,DG,1849,^ planted together
106-AH,2853,DG1,DG1,DG,1827,
107-AH,1827,DG2,DG2,DG,2853,^ planted together
21-AH,1886,DCG,,DCG,,
238-AH,1821,SG,,SG,,
177-AH,1845,DCS,,DCS,,
396-AH,1868,SS,,SS,,
300-AH,1823,SS,,SS,,
279-AH,1893,DS1,,DS,1859,
280-AH,1859,DS2,,DS,1893,^ planted together
12-AH,1898,SS,,SS,,
25-AH,1834,DCS,,DCS,,
263-AH,1833,DS1,,DS,1882,
264-AH,1882,DS2,,DS,1833,^ planted together
119-AH,1872,DS1,,DS,1815,
120-AH,1815,DS2,,DS,1872,^ planted together
449-AH,1852,DCS,,DCS,,
462-AH,1817,SG,,SG,,
417-AH,1825,DCS,,DCS,,
191-AH,1835,DS1,,DS,1885,
192-AH,1885,DS2,,DS,1835,^ planted together
236-AH,1870,SS,,SS,,
39-AH,1811,DS1,,DS,1875,
40-AH,1875,DS2,,DS,1811,^ planted together
431-AH,1887,DS1,,DS,1891,
432-AH,1891,DS2,,DS,1887,^ planted together
121-AH,2893,DCS,,DCS,,
473-AH,1895,DCS,,DCS,,
153-AH,1890,DCS,,DCS,,
471-AH,2896,DS1,,DS,1896,
472-AH,1896,DS2,,DS,2896,^ planted together
361-AH,1819,DCS,,DCS,,
92-AH,1832,SS,,SS,,
4-AH,2881,SS,,SS,,
108-AH,2860,SS,,SS,,
348-AH,2891,SS,,SS,,
81-AH,2849,DCS,,DCS,,
180-AH,2850,SS,,SS,,
247-AH,1847,DS1,,DS,1871,
248-AH,1871,DS2,,DS,1847,^ planted together
452-AH,2805,SS,,SS,,
132-AH,2857,SS,,SS,,
233-AH,2862,DCS,,DCS,,
118-AH,2835,SG,,SG,,
140-AH,3089,SS,,SS,,
268-AH,2852,SS,,SS,,
329-AH,3075,DCS,,DCS,,
319-AH,3047,DS1,,DS,3038,
320-AH,3038,DS2,,DS,3047,^ planted together
463-AH,3004,DS1,,DS,3035,
464-AH,3035,DS2,,DS,3004,^ planted together
156-AH,3046,SS,,SS,,
1-AH,3044,DCS,,DCS,,
129-AH,3025,DCS,,DCS,,
209-AH,3026,DCS,,DCS,,
324-AH,3076,SS,,SS,,
363-AH,3090,DCS,,DCS,,
308-AH,3100,SS,,SS,,
159-AH,3054,DS1,,DS,3057,
160-AH,3057,DS2,,DS,3054,^ planted together
487-AH,3096,DS1,,DS,3042,
488-AH,3042,DS2,,DS,3096,^ planted together
73-AH,3078,DCS,,DCS,,
17-AH,3005,DCS,,DCS,,
420-AH,3008,SS,,SS,,
68-AH,3001,SS,,SS,,
124-AH,3024,SS,,SS,,
284-AH,3022,SS,,SS,,
41-AH,3093,DCS,,DCS,,
7-AH,3098,DS1,,DS,3033,
8-AH,3033,DS2,,DS,3098,^ planted together
375-AH,3053,DS1,,DS,3030,
376-AH,3030,DS2,,DS,3053,^ planted together
127-AH,3006,DS1,,DS,3060,
128-AH,3060,DS2,,DS,3006,^ planted together
343-AH,3036,DS1,,DS,,Other plant died before outplant? -MA
334-AH,3037,SG,,SG,,
433-AH,3086,DCS,,DCS,,
,2157,DCS,,DCS,,
